Company,Revenue,Profit
General Motors,"14,640.20","1,459.10"
Exxon Mobil,"9,536.90",840.9
Ford Motor,"8,089.60",480.7
General Electric,"4,792.70",265.8
Mobil,"3,933.30",242.3
U.S. Steel,"3,468.80",163.7
Texaco,"3,272.10",481.7
Gulf Oil,"2,836.30",340.1
AT&T Technologies,"2,761.60",135.2
Esmark,"2,494.60",16.3
DuPont,"2,436.40",451.6
Chrysler,"2,377.60",65.4
ChevronTexaco,"2,150.90",313.8
Amoco,"2,147.80",162.4
Bethlehem Steel,"2,072.10",88.7
Shell Oil,"1,960.70",157.7
CBS,"1,954.50",57.1
Intl. Business Machines,"1,925.20",241.4
General Dynamics,"1,898.50",52.9
Armour,"1,859.40",14.8
Navistar International,"1,837.50",60.2
Kraft,"1,820.50",51.3
Boeing,"1,768.50",27.2
Lockheed Martin,"1,753.10",50.3
RCA,"1,742.70",58.5
Rockwell Automation,"1,633.70",34.6
Union Carbide,"1,630.70",159.8
Procter & Gamble,"1,619.40",109.4
Goodyear Tire & Rubber,"1,592.50",71.1
General Telephone & Electronics,"1,327.90",86.3
Firestone Tire & Rubber,"1,277.70",60
ConocoPhillips,"1,244.60",107
Martin Marietta,"1,195.30",45.4
General Foods,"1,189.50",72.2
Sinclair Oil,"1,184.60",47.4
Continental Group,"1,182.90",41
Sperry,"1,182.60",24.4
American Can,"1,180.50",48.7
United Technologies,"1,160.50",18.1
International Paper,"1,095.70",67.1
ITT Industries,"1,090.20",40.7
Citgo Petroleum,"1,083.40",60.2
Monsanto,"1,063.20",78.4
American Motors,"1,056.40",34.2
Eastman Kodak,"1,056.10",140.3
Republic Steel,"1,049.60",40
Borden Chemical,"1,047.90",32.4
Burlington Industries Equity,"1,010.00",37.5
Uniroyal,"1,006.80",25.7
GenCorp,959.8,26.7
Alcoa,938.7,64.3
Dow Chemical,926.2,72.9
ARMCO,918.6,45.9
Nabisco Group Holdings,900,119.8
Conoco,880.1,69.1
Honeywell Intl.,869.1,58
Caterpillar,827,62
Goodrich,812,26.3
Bestfoods,803.3,46.2
Bendix,794.2,22.5
Sunoco,794,53.2
